postTitle,postDescription,text,likesCount,facebookUrl,clean_text,sentiment_textblob,score_textblob,sentiment_bert,score_bert,modeles_accord
,,"Non seulement je ne vous parle pas de la mauvaise qualité de la connexion internet mais aussi d' une tarification abusive des forfaits , je n' arrive toujours pas à comprendre un forfait de 30g acheté le 25 Août et aujourd'hui on est le 6 je consulte et biimmmm #00G en moins de 12 jours pour un forfait de 30 jours. C'est purement de l' #arnaque . Vous faites pire que la concurrence Expresso Senegal . Je vous déconseille fortement ces forfaits franchement  Expresso Senegal",0,https://web.facebook.com/photo/?fbid=1227776409390729&set=a.454658450035866&locale=fr_FR,non seulement parle mauvaise qualit connexion internet aussi tarification abusive forfaits arrive toujours comprendre forfait g achet aot aujourdhui consulte biimmmm moins jours forfait jours cest purement faites pire concurrence expresso senegal dconseille fortement forfaits franchement expresso senegal,Neutre,0.0,Négatif,0.9578,False
,,Sen 30 giga yi xolaat leen ko déjà le réseau n'est pas stable et vous facturez plus de giga pour rien,0,https://web.facebook.com/photo?fbid=1283745120460524&set=a.454658450035866&locale=fr_FR,sen giga yi xolaat leen ko dj rseau nest stable facturez plus giga rien,Neutre,0.0,Négatif,0.5856,False
,,Comment active une ligne svp,0,https://web.facebook.com/photo?fbid=1283745120460524&set=a.454658450035866&locale=fr_FR,comment active ligne svp,Négatif,-0.1333,Positif,0.3777,False
,,Ah mangui beug maguett Ndékété mangui si keurgui depuis 2009,0,https://web.facebook.com/photo?fbid=1283745120460524&set=a.454658450035866&locale=fr_FR,ah mangui beug maguett ndkt mangui si keurgui depuis,Neutre,0.0,Négatif,0.4718,False
,,"Ziguinchor, rond-point Jean Paul 2",0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,ziguinchor rondpoint jean paul,Neutre,0.0,Positif,0.2586,False
,,Sa me rappelle manifestations bou drapeau Sénégal nek si gaw ak manifestants bii,0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,rappelle manifestation bou drapeau sngal nek si gaw ak manifestants bii,Neutre,0.0,Neutre,0.2748,True
,,"@Expresso Senegal 
Ziguinchor, la terre des Hommes intègres Rond point Jean Paul 2",0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,senegal ziguinchor terre hommes intgres rond point jean paul,Neutre,0.0,Positif,0.3938,False
,,Rond point Jeau Paul 2,0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,rond point jeau paul,Neutre,0.0,Positif,0.2681,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Lolou yep am réseau boubakh moko gueun,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,lolou yep am rseau boubakh moko gueun,Neutre,0.0,Neutre,0.2355,True
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,"J’ai entendu dire que 3000f =30 Go internet. Hier j’ai acheté une carte SIM expresso puis activer les 3000f . Tous se passait à merveille jusqu’à 17h rien de marche,le réseau ne marche plus alors que j’ai identifié la puce et la configurer aussi. En ce moment j’ai presque 28 Go et je peux pas connecter. Je regrette vraiment d’avoir choisi l’expresso. Thies Medina fall",0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,jai entendu dire f go internet hier jai achet carte sim expresso puis activer f tous passait merveille jusqu h rien marchele rseau marche plus alors jai identifi puce configurer aussi moment jai presque go peux connecter regrette vraiment davoir choisi lexpresso thies medina fall,Neutre,0.0,Négatif,0.7298,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,"Un opérateur qui se concentre uniquement dans les villes peut même faire 30 Go pour 1500 F 
Lii dou victoire Senegal dou DAKAR Ak Thiès",0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,oprateur concentre uniquement villes peut mme faire go f lii dou victoire senegal dou dakar ak this,Neutre,0.0,Négatif,0.2602,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Mo meilleur,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,mo meilleur,Neutre,0.0,Positif,0.6793,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Ok mai connexion bi dafa faible partout,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,ok mai connexion bi dafa faible partout,Positif,0.5,Neutre,0.5194,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Bima la diokhé sama numéro ba légui meuno ma revenir ci loutakh réseau bii gnew,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,bima diokh sama numro ba lgui meuno revenir ci loutakh rseau bii gnew,Neutre,0.0,Négatif,0.5606,False
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Mai séne réseau bi bakhoul,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,mai sne rseau bi bakhoul,Neutre,0.0,Neutre,0.3142,True
"Ku xam sa valeur,  mo ley Teral sa souné !
Ño ngi leen di dalal au #115# dans notre programme de fidélité.

Souscrivez et recevez des points  après chaque activation de forfaits. 
Points yoyu ngey convertir en minute d’appels wala connexion !

Fidélité ci Expresso dëgg dëgg dey fey ! 

#ExpressoSenegal
#TeralDay 
#FidelitéDeyFay",,J'ai acheté un pass mais depuis ça ne fonctionne pas et le service client n'aide pas du tout,0,https://web.facebook.com/Expresso221/posts/pfbid024DePzLRJHizKDSySYZt3ZC4EXEF6CAykqaJvbnVoDAjA1rB2C6X4cSbsgh9hksDNl?locale=fr_FR,jai achet pas depuis a fonctionne service client naide tout,Neutre,0.0,Négatif,0.7377,False
"Ku xam sa valeur,  mo ley Teral sa souné !
Ño ngi leen di dalal au #115# dans notre programme de fidélité.

Souscrivez et recevez des points  après chaque activation de forfaits. 
Points yoyu ngey convertir en minute d’appels wala connexion !

Fidélité ci Expresso dëgg dëgg dey fey ! 

#ExpressoSenegal
#TeralDay 
#FidelitéDeyFay",,Vous coupez nos puces et si on vous appellez ça passe pas,0,https://web.facebook.com/Expresso221/posts/pfbid024DePzLRJHizKDSySYZt3ZC4EXEF6CAykqaJvbnVoDAjA1rB2C6X4cSbsgh9hksDNl?locale=fr_FR,coupez puce si appellez a passe,Neutre,0.0,Négatif,0.5962,False
,,"Qualité mo geune quantité... A chak fois avec le buur 3000f.
30 Gigas you amoul bene ndiarigne, 3g sakh dou dialeu je parles pas du 4g... Désolé mais qualité de réseau ZERO",1,https://web.facebook.com/photo/?fbid=1258954512939585&set=a.454658450035866&locale=fr_FR,qualit mo geune quantit a chak fois buur f gigas you amoul bene ndiarigne g sakh dou dialeu parles g dsol qualit rseau zero,Neutre,0.0,Négatif,0.6424,False
,,Forfaits limités mo fi wara diéx,0,https://web.facebook.com/photo/?fbid=1258954512939585&set=a.454658450035866&locale=fr_FR,forfaits limit mo fi wara dix,Neutre,0.0,Positif,0.3167,False
,,Liii bou yague nguenko wara daf les arnaqueurs passent par tigo ou expresso souvent,4,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,liii bou yague nguenko wara daf arnaqueurs passent tigo expresso souvent,Neutre,0.0,Négatif,0.4494,False
,,"Vous êtes les premiers responsables, pourquoi vous vendez les puces ds la rue sans identication?
Toute personne souhaitant avoir une puce expresso devrait se déplacer en agence et être identifié en même temps.",4,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,premier responsables pourquoi vendez puce d rue sans identication toute personne souhaitant avoir puce expresso devrait dplacer agence tre identifi mme temp,Neutre,0.0,Négatif,0.6267,False
,,Meilleurs,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,meilleurs,Neutre,0.0,Positif,0.741,False
,,Moi j’ai déjà identifié ma puce mais comment en être sûre,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,jai dj identifi puce comment tre sre,Neutre,0.0,Positif,0.3035,False
,,Kedougou réseau bi dou dara vous pouvez couper tout,1,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,kedougou rseau bi dou dara pouvez couper tout,Neutre,0.0,Négatif,0.2654,False
,,Dolen suspendre ken sen ay puce laniouy diay si mbeed bi 500 franc sans identification et vous êtes au courant ndax yenako sentané sen ay bus laniouy nek donc bouln niousonal ak identification,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,dolen suspendre ken sen ay puce laniouy diay si mbeed bi franc sans identification courant ndax yenako sentan sen ay bus laniouy nek donc bouln niousonal ak identification,Neutre,0.0,Négatif,0.7418,False
,,Gni dieund ak sen CNI nak diaratuko di et pourquoi vendre des puces activé seulement,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,gni dieund ak sen cni nak diaratuko di pourquoi vendre puce activ seulement,Neutre,0.0,Négatif,0.5499,False
,,Mane identifié nako ba paré mais à chaque fois gnoumay wo wala envoyé message que identifier wouma ko,1,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,mane identifi nako ba chaque fois gnoumay wo wala envoy message identifier wouma ko,Neutre,0.0,Négatif,0.421,False
,,C’est une promo ou une nouvelle offre Expresso Senegal,0,https://web.facebook.com/photo/?fbid=1273435594824810&set=a.454658450035866&locale=fr_FR,cest promo nouvelle offre expresso senegal,Neutre,0.0,Positif,0.4086,False
,,C'est vrai ce que  tu as dit expresso Sénégal,0,https://web.facebook.com/photo/?fbid=1246236070878096&set=a.454658450035866&locale=fr_FR,cest vrai dit expresso sngal,Neutre,0.0,Positif,0.4986,False
,,Réseau bi bakhoul dra à kedougou,0,https://web.facebook.com/photo?fbid=1279224137579289&set=a.454658450035866&locale=fr_FR,rseau bi bakhoul dra kedougou,Neutre,0.0,Positif,0.303,False
